n#03277459	balanza_electrónica
r#00107895	como_una_muchacha
a#02639302	archiducal
n#04312756	sistema_de_dirección
a#00066703	valiente
a#00683531	ordinario vulgar
n#06808408	linga lingam
n#05099796	fuerza intensidad
n#06336285	nombre_de_calle
n#07929351	café
n#11225350	Alan_Paton Alan_Stewart_Paton Paton
n#14216054	chancro_del_manzano
n#14746270	megesterol
n#13391967	dólar
v#02671880	satisfacer
n#02878534	boudoir gabinete tocador
n#06478582	diploma título
n#00547454	silbido
n#11528225	paralaje
n#02539752	Prosopium género_Prosopium
n#10621941	soldador
v#02413290	servir
n#13702396	unidad_monetaria_tayika
v#02631163	combinar unir
n#05938976	guía modelo pauta plantilla
v#02305856	acumular amontonar
n#07003672	balistocardiograma
a#01265938	divertido gracioso
n#01417361	dinoflagellata
a#01457692	rotundo sonoro
n#13201239	género_tectaria tectaria
n#03865171	sobrecarga
n#04607759	gorrón pasador_del_pistón pasador_del_émbolo
n#00968155	campaña
n#05634059	armería arsenal inventario
v#01995211	sacar
n#11269515	Erwin_Rommel
v#00102303	escupir
a#01496462	insignificante
a#00787136	dominante
n#01618220	Sagittariidae familia_Sagittariidae
n#11791569	pistia
v#00516747	azufrar sulfatar
v#01917123	escabullirse
v#02563724	completar cumplir despachar
n#01789064	Galliformes orden_Galliformes
v#01296462	adjuntar unir
n#08625462	izquierda
n#00519739	circo
a#01074458	salado salino
n#04132603	shamisen
a#02870453	quinestético
n#15001500	safranina
n#14336539	inflamación
n#12883628	stenandrium
v#00180837	limpiar
n#13793504	compromiso implicación participación
n#03537866	horror
a#02379157	paralelo simultáneo
n#09889539	cinematógrafo cámara fotógrafo operario_de_cámara
n#09604345	Tío_Sam
n#03528100	clínica hogar sanatorio
a#00483146	comercial
n#11443532	corriente corriente_eléctrica
n#02238235	chinche_Lygus
n#11367436	Publio_Virgilio_Marón
a#00404568	pálido
a#01497387	significativo
a#02387413	fuerte
n#04155310	garabato pintarrajo rayajo
a#01597387	raro
n#00680914	episiotomía
n#00528667	baile ballet
v#02436140	desorganizar
n#02779435	pelota
n#07576182	bufet bufé
n#09375481	pepita
n#10485883	proteccionista
n#11098223	Edmund_Kean
n#11261804	Eddie_Rickenbacker
n#11003276	Lady_Godiva
n#11480521	paramagnetismo
n#03282295	embajada
n#00451370	ciclismo
n#01843932	Trogonidae familia_Trogonidae
n#01712752	ceratosaurus
n#05808442	flash
n#10896987	Agatha_Christie
n#04798185	anomalía
n#04763293	individualidad personalidad
n#13963757	estado_civil
n#04521699	variación
n#12762896	rhus
n#10875249	Richard_Burton
v#02031158	dividir separar
n#05988498	ignorancia oscuridad
a#02603540	adenoideo
n#10836413	Barthelme Donald_Barthelme
a#01442826	breve corto
v#02433549	reequipar remodelar revisar
n#03640166	paisaje
n#13738459	sistema_duodecimal
a#01278080	eminente gran
n#14601039	Agente_Naranja
v#00443984	licuar liquidar
a#01405214	ilegible
n#09880881	alcalde burgomaestre
a#03073751	hidráulico
a#01919282	silencioso
n#11638902	genus_libocedrus libocedrus
n#01731941	Masticophis_lateralis chirrionera_rayada
n#14001629	debilidad impotencia
v#02001858	rastrear
n#14160903	otosclerosis
n#09166902	Silicon_Valley
a#01830599	poderoso potente
n#01563313	Polioptila género_Polioptila
n#10802953	trabajador_del_ferrocarril
n#07305907	infierno
n#00583461	especialidad
r#00269032	bestial brutal
a#03097952	fálico
n#09230041	madriguera
n#14563222	inmundicia vulgaridad
n#04292572	altavoz altavoz_de_intercomunicador
n#06712833	bronca
n#02232086	Phyllium género_Phyllium
n#05710356	penetración
v#02332086	acompañar asociar
v#02143283	desvelar revelar
v#02633356	constar
v#01316401	buscar cazar rastrear
v#00661713	comparar cotejar
n#06303682	sinonímia
n#14099552	agrafia
n#10555430	canalla granuja oveja_negra
n#13352865	activo_de_garantía
n#15221099	magh magha
n#02284884	Argyrotaenia_citrana tortrícido
n#10118844	jugador
v#00761713	negociar
v#00320121	hornear
n#09498072	Esteno
v#02179518	sonar
n#11465688	granizada pedrisco
n#13467916	desintegración disolución
n#15191494	pasch pascua pesaj
n#13481994	flop
n#11218290	Elisha_Graves_Otis
v#00077458	hacer_bascas tener_angustia tener_ansias tener_arcadas tener_desazón tener_náuseas
n#06631322	acogida bienvenida
v#00397405	desmigajarse desmoronarse
n#10342770	mujik
n#04969952	azul_real azul_turquesa
n#03285106	enalapril
a#01303946	inferior
v#01374767	salpicar
n#01101571	venta_agresiva
v#00073343	arrojar echar
a#01761186	impermisible
a#00471966	desapercibido
n#00095329	indemnización
n#02070174	Tursiops_Gilli
n#07228105	compromiso promesa
v#00708980	proponer
n#11141882	Richard_Lovelace
a#01103676	detallado
a#02260035	sólido
v#01101571	llevar
n#00079603	comercio_de_bonos operaciones_con_bonos
n#02483224	Hylobates género_Hylobates
v#00327362	embeber empapar
n#03163081	Dartmouth_College
n#03609235	kayak
n#05147586	riqueza
n#06359193	sitio_web
v#02403408	despachar despedir echar
n#04729127	admirabilidad maravilla notabilidad
n#07757511	cereza_Bing
n#08598301	pradera prado
v#00147815	caer
n#10824352	Svante_August_Arrhenius
n#00752954	arte astucia
v#02671761	decepcionar
v#02400760	elegir
n#13741903	dígito_hexadecimal
n#07446404	traslado
n#02925901	línea_de_autobuses
n#06345773	titular_sensacionalista
v#01418037	montar
n#04818700	astracanada chabacanería garrulería horterada mal_gusto ordinariez zafiedad
n#02104365	schipperke
v#02064887	desviar
n#09930772	mercero
n#11098707	John_Keble
a#00894551	estable
v#02649220	empapar
n#14092247	criptorquidia
n#02690715	corresponsal_aéreo
n#15251892	cuarto_centenario
v#02142626	vestir
n#01081628	asociación
n#10498422	buscapleitos peleón
v#00877848	apuntar soplar
n#00074324	fuera_de_juego
a#02602951	actinomicótico
n#14036539	cólera furia ira
n#13066129	carbón hongo_carbón
v#00945499	contar decir
n#14666369	anfibolita
r#00424724	golpeteo pisadas_ligeras trote_ligero
n#06876144	gesto seña señal
n#14172873	empiema
n#02793495	galpón
n#07346344	solitón
r#00129908	bacterianamente
n#03671272	línea línea_ferroviaria vía
n#09574446	Jupiter_Pluvius
n#11392539	Johann_Joachim_Winckelmann
n#03135917	travesaño
n#10118113	esclavo_de_galera
n#02016816	gallinula
n#14123259	rubéola
n#06142861	ciencia_cognitiva
n#04559910	vaso_de_agua
n#09555391	Eris
n#03175301	densitómetro
n#03333349	hospital_de_campaña
n#02455887	Priodontes género_Priodontes
n#03794957	boquilla
n#11177695	Giacomo_Meyerbeer
n#06669864	ecuación
n#05867413	división parte sección
n#07830593	salsa_picante
v#00893741	presentar_una_coartada
v#00745499	encargar ordenar
n#12345280	punica_granatum
n#10420392	geólogo_petrolero
n#13435152	asociación
n#09115886	Las_Cruces
n#02735086	archivo
v#01128899	sobreproteger
v#00835903	confundir
n#11108767	Fumimaro_Konoe
n#02403153	añojo
n#04525729	cristal_veneciano
v#01628899	poner
n#08122960	Agencia_de_Protección_Ambiental_de_Estados_Unidos
a#00834198	eficaz
a#02908647	duodenal
n#05615500	circunspección discreción prudencia
n#10573829	secretario_general
v#00898019	dar_la_mano
n#07095775	espondeo
a#02035086	justo recto
n#12047060	pseudobulbo
v#01625343	elaborar
n#11170913	Peter_Medawar
n#03179318	anteproyecto boceto diseño plano
r#00171543	de_improviso de_la_nada
n#08875972	Downing_Street
v#00928015	indicar
n#12432574	allium_canadense
a#00611938	no_tradicional
n#11400594	Elinor_Morton_Hoyt_Wylie Wylie
n#01533169	Serinus género_Serinus
n#02917163	corrida_de_toros
n#14558226	parálisis
n#07329737	salida
n#04893172	previsión
n#03349020	aguja
n#02197048	Ceratitis género_Ceratitis
n#11937692	ayapana
n#07810531	cubo_de_caldo
n#09659605	kusan
a#01720930	recto
n#00328015	regreso retorno
n#09685085	jainista
n#80000921	copia_de_evaluación
a#01988166	poco_reservado
v#01542207	derramar desparramar salpicar
n#01647303	Bufo_speciosus sapo_de_Texas
a#01273143	inidentificable
n#10858468	El_Bosco Hieronymus_Bosch Jerom_Bos
a#00017352	abusado maltratado
n#01221464	territorialidad
v#00819508	confesar
n#04790942	peligrosidad toxicidad
n#07320622	parto
n#07474006	independencia
n#10909303	Gary_Cooper
n#00230824	aborto_inminente amenaza_de_aborto
n#13884740	paralelepípedo
n#10907103	William_Congreve
v#02228531	asignar
v#02679530	prolongar sostener
n#08490199	casa hogar país
v#02564426	condonar perdonar
n#07822687	chile
v#02362601	poner_un_eje
v#00980453	formular
n#07308889	caso ejemplo instancia
n#07331600	difusión transmisión
v#02262601	jubilar pensionar
n#06323284	superlativo
n#10638136	aguafiestas cenizo gafe
n#11269367	Sigmund_Romberg
n#01705591	dinosaurio_ornitopoda ornithopoda ornitopoda
v#02289295	ganar
n#13485767	fusión
a#00701299	claro evidente indiscutible indudable innegable notable obvio patente
v#00689950	considerar estimar
n#07552087	malhumor
n#10162016	sicario
n#07599998	chicle
n#14351995	ovaritis
n#04268969	bengala
n#03206908	fuente plato
a#01968165	diario
v#00625963	elegir nombrar
n#05674134	inconsciencia olvido
a#02613206	alográfico
r#00120223	a_la_vez al_mismo_tiempo
a#02930255	aniónico
n#09755398	absolutista
n#00940709	invento
n#09761403	economista
n#80000953	visitante
n#02432867	Alces género_Alces
v#00527572	curar
n#03196062	cámara_digital
r#00157304	como_grupo en_bloque en_masa
n#06341773	reverendo
n#08097766	Hare_Krishna
n#05069199	caída inclinación pendiente
n#10835450	Barrymore Georgiana_Barrymore Georgiana_Emma_Barrymore
n#14466846	encefalocele
n#03779000	módulo
a#02213377	improvisado sin_guión
n#01467180	Cefalocordados cefalocordados subfilo_Cephalochordata
n#03900104	cruz_patriarcal
n#08288390	sociedad_tribal
n#04884627	autoindulgencia indulgencia
n#05156481	fuerza influencia peso
n#05422574	vena_bulbo-vestibular
n#08942508	Alta_Normandía
a#00472694	combinatorio
n#11194749	Elijah_Muhammad Muhammad
v#00945853	nombrar
n#11382112	Benjamin_West
v#01339505	descubrir destapar exponer
n#05636171	enología
n#07289014	dificultad problema
v#02486232	salir
n#06839190	espacio
n#10988887	Luigi_Galvani
a#01131935	negro oscuro perverso siniestro
n#10702615	amenaza terror
a#02325097	débil flojo frágil tímido
a#00936297	viejo
n#03377077	foliación follaje
a#02754197	jurídico
n#13689630	unidad_monetaria_mauritana
n#03129123	creación
a#00689336	formal serio
a#00588797	contento
n#12100382	graminales orden_graminales
a#03099928	pineal
v#01276361	arrugar
n#06608035	poema_banal verso_ilógico
n#05551318	costado lado
n#06201908	parcialidad predisposición prejuicio
n#12048928	calanthe
n#03794655	mousepad
n#14160365	distrofia_muscular
v#01536076	enjabonar
n#06513624	memorial
n#11319244	Harlan_Fiske_Stone
n#02427958	Adenota género_Adenota
v#00018526	desadormecerse despabilarse despertar despertarse resucitar
n#09199498	antimesón
v#02039876	disminuir
n#13268683	bote premio_gordo
v#01704236	vocalizar
v#01953810	transportar
n#02407172	Shorthorn_lechero
n#02307007	Malacosoma género_Malacosoma
a#00695938	resistente
n#09543353	demonio diablo
n#11248426	Joseph_Pulitzer
n#11192666	Samuel_Finley_Breese_Morse Samuel_Morse
n#07705221	salvado_con_pasas
n#00453396	cacería_de_patos caza_de_patos
a#02202146	segundo
n#02733075	arboreto
v#00426581	aparecer salir surgir
n#07322550	Parusía advenimiento segunda_venida segundo_advenimiento
n#02153959	casco uña
a#01631703	inofensivo
v#01946408	bordear
n#09898692	carretero
n#10969986	Enrico_Fermi
n#10519494	líder_religioso
n#06486630	bibliografía
n#09956387	conocedor
a#02533075	ectotermo ectotérmico heterotérmico poiquilotérmico
n#13510152	maceración
n#13520981	neurogénesis
n#14314597	hemosiderosis
n#07825312	mostaza_chow_chow
n#08752021	República_Dominicana
n#02291940	Tinea género_Tinea
n#01725427	Plesiosauria
n#13764639	bolsa saco
a#00478590	incómodo
n#08558882	señorío_feudal
n#06562436	libelo
a#00935359	insignificante inútil
a#00171292	desagradable
v#00954137	hablar_con_entusiasmo recitar_una_rapsodia
a#02952109	sedimentario
n#01734273	Lampropeltis género_Lampropeltis
n#02533075	Sardina género_Sardina género_Sardinia
n#00158185	manipulación
n#03151077	cortina
a#01069283	malo
v#02665617	asemejar
n#06244445	parsismo
n#07555647	exuberancia
n#07881800	bebida
n#11835451	género_spinacia spinacia
n#13517080	operación_monádica operación_unaria
n#05022902	flexibilidad
v#01835496	desplazarse ir moverse viajar
n#05036715	gravedad seriedad
n#03855464	oriflama
n#05026312	masa_molecular_relativa peso_molecular
n#09378178	Old_Faithful
n#03449217	aguada
n#02231307	Phasmatidae Phasmidae familia_Phasmatidae familia_Phasmidae
v#02520730	reponer
v#00879540	designar nominar proponer
n#02770830	asiento_trasero
n#10407954	colaborador
n#12523475	jacaranda
v#01242391	cerrar_ruidosamente golpear_violentamente
n#02426339	Raphicerus género_Raphicerus
v#01843689	visitar
n#06874019	luz
n#03053163	nudo
n#00243662	primera_base
a#02667637	bolométrico
n#10937126	Walt_Disney
n#07341038	ciclo
n#03119790	campo pista terreno_de_juego
n#10170060	contratación
v#00610374	reconocer
n#08178321	gobierno_títere régimen_títere
a#02129007	migratorio
v#00903711	absolver
n#15169873	semana
a#01642379	nuevo
a#01609900	indetectado
n#04825576	polisemia
n#08454818	ley_marcial
n#09998101	estafador tramposo
n#00195938	fluctuación
a#00643863	creativo imaginativo ingenioso
n#15102455	conglomerado
n#00538144	polca
n#11357879	James_Ussher
n#07073208	articulación
a#02260477	concreto sólido
v#00536535	aflojar remolonear
v#02277448	asaltar
v#02651745	acomodar_en_barracas colocar_en_barracas
n#01739260	Oxybelis género_Oxybelis
v#00780444	irrumpir
n#03056010	contenedor_de_carbón
v#01554799	tallar
n#00383606	desconexión división separación
a#00716056	parlamentario
n#11224654	Boris_Pasternak
n#03729308	fosforera
n#05719605	tono
a#00021766	exacto preciso
n#02008041	ardeidae
a#02909952	ortográfico
n#14082303	accidente_cerebrovascular
n#08429052	columna
n#05154908	asistencia ayuda recurso soporte
v#01166237	agotar gastar
a#00795959	irrepresentable
n#10159533	ala_delta
n#00427853	baño
a#00544231	temeroso
v#01591158	sacudir
v#02500144	castigar
v#02617083	respirar
n#08066317	moda
n#14487731	infección
n#08279665	escuela_naval
n#14571618	oligospermia
v#01324996	suicidarse
n#06351613	escritura
n#12554526	locoísmo
n#01191158	decisión fallo sentencia
n#13647498	dina
n#03185868	aislante frasco_aislante
a#01084900	lleno
n#14047641	embarazo_tubárico
n#00795720	proyecto tarea
n#14368483	acromegalia
n#01714231	allosaurus
a#02464277	sospechoso
n#09932098	entrenador_de_lanzamiento entrenador_de_tiro
a#00336168	incierto
v#00772189	razonar
a#03001153	epicúreo
v#00420337	tensar
n#07386920	rumor
n#12031927	vernonia
n#06812188	radical
v#01354405	impermeabilizar
v#02703790	rondar
n#06415323	cartilla
n#14567690	sodoku
n#01189282	condena
n#00522537	exposición
n#13077295	mildiu
v#00268011	ponerse_bien reanimarse recuperarse superar
v#01537271	lavar_al_ácido lavar_con_ácido
n#02500144	género_Indri
n#02472987	hombre humanidad mundo
n#00034777	abdominoplastia
n#06731697	alegación_falsa ipse_dixit retórica_infundada
n#00467320	herradura quoits
n#02422249	Damaliscus género_Damaliscus
a#00913551	perenne
n#02531503	Brevoortia género_Brevoortia
n#02030442	Heteroscelus género_Heteroscelus
n#03449103	aguada
a#02401590	moderado
a#02634073	aponeurótico
n#03179701	escritorio
a#03019114	proteolítico proteólisis
n#04810327	ilegalidad
n#04393808	taqué
a#02870663	angelical angélico
n#10079310	campesina
v#00534837	enrojecer
n#01692864	lacértido lagartija_lacértida
n#11395895	Natalie_Wood
a#02267164	sin_resolver sin_solucionar
n#00089027	conquista sometimiento
n#02926044	buspirona
n#03222959	tirador
a#02995039	margoso
n#07016948	tragedia
a#00517554	medio
n#08875843	Palacio_de_Buckingham
v#01216331	aferrarse asirse
r#00281383	pendencieramente
n#08279298	academia instituto
n#12383256	género_passiflora passiflora
n#08505573	desierto
n#09378801	Omega_Centauri
v#01950798	embarcar enviar mandar transportar
n#14753188	prednisolona
a#03013412	triunfal
n#10555936	escenarista guionista
n#09133643	Klamath_Falls
n#11167792	Mary_MacCarthy Mary_McCarthy Mary_Therese_McCarthy McCarthy
v#00088713	impurificar infectar
v#02067889	correr_libre derrochar rebalsarse
v#01489465	dejar descargar
n#02690941	conducto_aéreo pasaje_aéreo vía_de_ventilación
v#01406356	basar
n#09902256	caballero galán
n#07581249	antipasto
n#00042757	partida salida
v#02465145	cofirmar
n#09272468	supresor surpresor
n#02746841	atelier
n#09872066	fantasma jactancioso
n#02507337	Procyonidae familia_Procyonidae
n#01699831	dinosauria dinosaurio
n#13930928	asimilación
n#01746727	serpientes_corales_orientales
v#01335202	bañar
n#00737399	desviación
n#11013574	Joseph_Greenberg
n#14451020	urgencia
n#14235200	tumor
n#06693086	salva
n#05020981	vitalidad
n#01779340	Argasidae familia_Argasidae
n#07325639	adrenarquía
n#08587086	justiciario
n#14999801	pirimidine
n#03070587	colimador
n#13325847	servicio
a#01240591	manante potable que_fluye que_mana
v#02725714	abstenerse refrenarse
a#02204580	enésimo
r#00177818	diariamente día_a_día
n#01032040	oficio oficio_religioso servicio servicio_religioso
n#06423619	directorio
n#14561102	corrupción
n#09800056	apparatchik
n#11683443	septum
v#00909896	arrullar zurear
n#10654596	hijastra
a#02126889	inestable
a#02321809	fornido fuerte
n#11627028	abeto_tsuga falso_abeto género_tsuga
a#01368192	desdichado sin_alegría triste
v#01465506	concatenar concordar
v#00843959	acusar cargar
v#02160433	balizar
n#01899593	lana
n#09535409	Kannon
n#07514071	impaciencia
n#07415167	conjunción
v#02161922	enfocar
n#10896046	Thomas_Chippendale
a#03060601	délfico
n#01370260	shigella
n#14955559	tartrato
n#07092592	poesía verso
n#11788926	género_lisiquiton lisiquiton
n#07127693	risa_nerviosa risita
n#01102862	serialización
n#06510271	archivo_de_transacciones
n#10659188	picapedrero
v#02645007	sumar
n#05159225	especialidad especialización fuerte oficio punto_fuerte
a#00509896	incompatible
a#01377257	desconocido
n#14913744	hipnagogo
a#02560035	horrible nocivo ofensivo
v#00747418	forzar
r#00322423	colina_abajo cuesta_abajo
n#05983801	asunto
v#00031663	reírse_ahogadamente reírse_bajito reírse_entre_dientes
n#07132634	barboteo
n#09782167	dipsómano
n#08128964	ministerio_de_agricultura
a#02058529	sensato
n#00738598	zoofilia
a#02776496	petaloide
n#14643323	laurencio lr número_atómico_103
n#06828818	carácter letra
v#00907066	condenar_de_antemano
n#00828559	arreglo_personal
v#00965871	anunciar declarar
n#06493392	menú menú_del_ordenador
n#02064608	Balaenoptera género_Balaenoptera
v#02632838	ausentarse
n#07136315	charla_íntima
n#08955626	Corea_del_Sur
n#00923303	sericicultura
n#10832251	James_Baldwin
n#10939475	Don_Juan
r#00384207	en_broma humorísticamente
v#02473688	echar_a_perder echar_abajo frustrar vencer votar_en_contra
v#02676496	centrar concentrar enfocar
n#11311287	Mickey_Spillane
n#01519563	casuarius
n#05644727	economía
n#01116206	telemetría
n#06122578	topografía
a#02272954	simple
n#06218824	meritocracia
n#10290919	manicurista
n#13558696	clasificación
n#13792579	co conexión interrelación unión vinculación vínculo
n#06648724	argumento
v#02579140	compensar cumplir
r#00142576	horticulturalmente
n#01792042	pollo polluelo
n#05845332	género
n#08555443	zona_de_pisos
n#14809373	encefalina
r#00153372	a_voluntad
a#02317327	bobinado enrollado enroscado
n#00375348	pervaporación
n#11426530	atracción
v#00520357	interrumpir perturbar
a#02402078	moderado
a#02943463	metodológico
n#00250710	elaboración
a#00005718	infinito
n#11354001	Desmond_Tutu
n#11131808	Trygve_Halvdan_Lie Trygve_Lie
n#14764910	piel_de_zorro
n#12602262	eriogonum
n#11047961	Walter_Rudolf_Hess
v#01912893	andar
v#00952039	aspirar
n#11056060	Hans_Holbein
n#01481599	Elasmobranchii Selachii subclase_Elasmobranchii subclase_Selachii
n#07106651	kenning
n#06913635	nadene
n#07438396	superfetación
n#12106786	agrostis bentgrass
a#00327031	celular
n#04009552	proyector
a#01285136	espléndido
n#05616786	habilidad
v#01254324	desgastar gastar
v#02462997	ganar_por_mayoría
n#00818466	buenas_manos cuidado custodia responsabilidad
n#02844214	bistró
n#04255163	encaje fosa
n#00556313	maniobra
n#11707229	sassafras
v#01433294	coger llevar traer
v#01211699	manipular
n#05638882	arte capacidad_superior
a#00701479	indefinida indefinido
r#00093489	denominacionalmente
v#01886488	deslizar deslizarse resbalar resbalarse
n#04717139	calificación
v#00212414	conservar preservar
n#07447022	regreso vuelta
n#02530637	Alosa_Sapidissima sábalo_americano
n#11245110	Colin_Powell
n#13089526	perspicacia
n#01460108	monstruo teras
n#07869775	kebab
n#11097820	Kenneth_Kaunda
n#11955770	conoclinium género_conoclinium
n#02072493	monodon_monoceros
n#03428090	casa_del_guarda
n#13713817	sonio
n#08343534	Inter-Services_Intelligence
n#02367360	género_Chinchilla
n#14793533	hollín
n#07339098	choque sacudida
a#00129029	no_prensil
a#02693278	químico-fluorescente
n#05417162	esmegma
n#10493835	cachorro
a#02728812	gran_angular ojo_de_pez
n#13912260	árbol
v#02487573	cumplimentar hacer_venir visitar
r#00412178	subjetivamente
a#02911243	quiromancia quiromántico
n#01845272	Anseriformes orden_Anseriformes
n#03715275	malaca
a#01950711	grosero
v#01611746	esparcir
n#02533424	Sardinops género_Sardinops
n#03089624	confitería tienda_de_chucherías
v#00372665	calentar
n#06805962	raya
v#02340736	dar_transistores
v#01747945	imprimir
n#11137928	Henry_Wadsworth_Longfellow
n#11684739	hueso
n#13125117	raíz
n#00515414	distracción seducción
n#06017334	teoría_de_galois
n#10503452	radical
n#03969510	nivel_en_escuadra
v#01431987	rozar
n#11524662	condiciones condición_atmosférica tiempo tiempo_atmosférico
n#09419783	Saint_Johns St._Johns
a#00451510	cercano íntimo
n#13186546	woodwardia_virginica
n#14777188	Bromo-Seltzer
n#07498210	inclinación preferencia
n#00837965	calada
v#01100145	ganar triunfar vencer
n#08336844	repertorio
n#13773361	indicio sombra
n#00872411	potenciación
n#02284513	Homona género_Homona
n#02694426	alarma
n#10011486	diarista periodista
n#11048205	Hermann_Hesse
a#02952814	universalista
n#06119377	climatología
n#13703942	paisa
n#15006789	goma goma_sintética
a#01250121	duro
a#03080101	latino
n#05892991	requisitos_académicos
a#00556174	dependiente
n#00941974	excavación
n#09200193	antiprotón
n#09936825	colleen
n#13486115	gametogénesis
n#09646432	algonquino
n#08631945	campo_de_tiro tiro_de_rifle
a#01469677	magnético
n#01655116	Caecilidae Caeciliidae familia_Caecilidae familia_Caeciliidae
n#09898797	seductor
v#00624801	malinterpretar
n#01826998	Alcedinidae familia_Alcedinidae
n#13524295	oliguria
a#03098252	peninsular
n#05768806	sueño
n#01796870	Tetrao género_Tetrao
v#00257269	ampliar
n#11246408	Leontyne_Price
n#07940552	reino
n#13887509	ángulo
n#06881360	burro
n#02675987	acústica
v#02030424	disipar
v#02263346	conceder conferir otorgar
n#06387980	texto
n#11760785	calliandra
n#13356985	tesoro
a#01244846	agresivo
n#10703480	testadora
n#06587980	programa_espía
r#00372660	discretamente
v#00683280	considerar creer
n#00222485	suicidio
n#07569873	harina_de_soja preparado_de_soja
n#10954819	Willem_Einthoven
n#04464615	trackball
n#01576863	Sturnus género_Sturnus
r#00038489	en_el_vacío
n#09851465	padrino_de_boda
n#02557461	Stizostedion género_Stizostedion
n#00515297	broma cumplido
a#02302187	regular uniforme
a#00907661	halagador
n#05037394	vehemencia énfasis
n#09534428	deidad_japonesa
n#10176679	hombre_contratado mano_de_obra
n#11000660	Allen_Ginsberg Ginsberg
v#01816431	complacer gratificar satisfacer
n#01217859	contratación
v#00014742	dormir
a#01586009	no_neurótico
r#00193407	cómodamente
n#05299178	receptor
n#10161363	cosechador segador
n#14761122	cafeína
n#13790912	base cimentación cimiento fundamento
n#08673273	pueblo
n#00313971	orza orzar
n#05373790	vena_metacarpiana vena_metatarsiana
n#06343838	topónimo
n#12967776	familia_sclerotiniáceas sclerotiniáceas
n#10436851	kicker
n#12272432	encina
v#02217695	ayudar
n#09376526	Davy_Jones relieve_oceánico
v#01366653	pegar
n#03459498	gres-gris grigri
n#09899671	accidentado herido parte_perjudicada víctima
n#10387476	campista_central centrista
v#02341592	reacondicionar reparar
v#01412346	derribar tumbar
n#09010670	Vladivostok
n#08079852	cinco equipo_de_baloncesto equipo_de_básquetbol
n#04411264	tienda tienda_de_campaña
n#14810466	clorpirifós
a#01860207	privado
n#03035252	carpa_circense carpa_de_circo
n#10884831	Carter James_Earl_Carter Jimmy_Carter Presidente_Carter
n#01457276	Centriscidae familia_Centriscidae
n#00504526	halma
v#02294436	adjudicar asignar distribuir repartir
n#03496296	clavecín
v#00961329	glosar
n#04715075	ironía
n#10261388	gabarrero
a#00601783	polémico
a#02492719	bajo
n#04188643	lámina
n#11359412	Johannes_Diderik_Van_Der_Waals Johannes_Van_der_Waals Van_Der_Waals Van_der_Waals
n#12073217	maxillaria
v#00532429	envenenar
n#06420781	glosa
v#02513742	perjudicar
n#13529015	osificación
n#01024811	procedimiento_operativo
n#11467318	histéresis
n#11198253	Benito_Mussolini
a#01288091	inadvertido
a#02472384	subterráneo
v#02707429	aplicar colaborar
v#00425845	aflorar
n#14736079	colagenasa
n#80000949	pantalla_completa
v#02427596	despedirse
n#02585732	Cichlidae familia_Cichlidae
a#00603804	contencioso
n#14801146	cartón
n#01324431	carnívoro
n#00126721	fildeo
v#01373422	inyectar irrigar
a#01332386	intelectual
n#13817526	por_cien porcentage porcentaje
n#13925752	situación trance
n#14404160	depresión
n#14674776	eritrina
n#04606014	corona
n#11200949	Thomas_Nast
n#08254331	recepción
n#13552528	salivación
a#03070352	gregoriano
v#01848355	quedarse
n#03916720	dispositivo_periférico periférico
a#02692229	quelícerado
n#11332572	Jacques_Tati
n#14152617	anencefalia
n#14804175	cemento
n#15228378	hora hora_del_día
n#02548689	batrachoididae
n#05986295	letras
n#05935871	imagen_memorística
n#04931837	caída
v#00892923	excusarse
n#07168486	anulación cancelación contraorden
n#09169038	Dasht-e-Kavir Gran_Desierto_Salado desierto_de_Kavir
a#02707429	cubital
n#10286749	malthusiano
n#01745125	elapidae elápidos serpiente_elápida
n#02403231	buey_novillo novillo_castrado toro_castrado
v#02669477	exceder sobrepasar trascender
n#09271904	electrón negatrón
n#09221070	estrella_binaria
r#00488888	con_un_precedente
a#02716412	ebionita
n#09556580	Remo
n#09754780	abominador aborrecedor
n#10534586	atracador delincuente
n#02149136	Molossidae familia_Molossidae
n#03359566	frasco
n#04775185	balanceo
n#10813711	Algren Nelson_Algren
v#00588888	coger comprender entender
n#01648818	Pelobatidae familia_Pelobatidae
n#10910421	Corbett Gentleman_Jim James_John_corbett Jim_Corbett
n#11184927	Molotov Vyacheslav_Mikhailovich_Molotov
n#10540526	cabezas_redondas
n#14686913	gasolina
n#13306190	cargos_de_mantenimiento costo_de_mantenimiento costos_de_mantenimiento
n#05835747	concepción concepto
a#01653379	grande
n#10373801	agente agente_federal
n#13030852	peziza_coccinea peziza_escarlata
n#04644512	buena_disposición complacencia grado talante
n#14093464	ectrodactilia
n#07131854	articulación
n#03992436	casco fragmento_de_cerámica
n#07842044	huevo_de_chocolate
n#11290477	Glenn_T._Seaborg Glenn_Theodore_Seaborg
n#15236475	estación
v#02343374	operar_en_bancos
n#00337210	lanzamiento sacudida tira
n#00324384	alza ascensión ascenso subida
n#02330582	Myomorpha suborden_Myomorpha
n#09176608	Mauna_Loa
n#06239076	saktismo shaktismo
a#00803432	penetrante
v#00845144	apremiar_al_pago
n#06539076	leer_la_cartilla
n#07191777	insistencia
n#03876519	cuadro pintura
n#07203613	última_palabra
n#09233715	cabo
n#10110421	autónomo freelance
n#01853379	Melanitta género_Melanitta
n#10830229	Johann_Sebastian_Bach
n#13392472	águila
n#01377092	mycobacterium
