n#01460813	oviscapte ovopositor
n#14900963	goma_aràbiga
n#04431745	xinxeta
n#06191018	racionalisme
n#04376876	xeringa
n#05074774	col·locació emplaçament localització posició radicació relació_espaial situació ubicació
n#10971981	Ella_Fitzgerald
n#01097292	mercat
n#13315743	delme
n#10932140	Vittorio_De_Sica
n#02024185	corriol_pit-roig
n#10630093	espàstic
n#11286820	Charles_M._Schulz
n#08069050	indústria_petroliera
a#02472384	subterrani
n#11858406	calandrinia genus_calandrinia
n#10804923	yuppie
a#00330506	intermedi
n#00071700	falta_de_servei
n#12230146	genus_arbutus
n#01829602	upúpids
n#00388065	coltellada ganivetada
v#00719734	anticipar expectar preveure
n#02271570	tisanòpter
a#02498708	vàlid
n#02101388	spaniel_anglès
n#05453267	monòcit
v#00388065	individualitzar personalitzar
n#09226738	Bootes
n#01148398	reimposició
n#01524359	passeriforme
n#04173698	lluentó llustrí
n#14413265	benvinguda
n#10053439	emperadriu
n#01178415	Boston_Tea_Party
n#02919792	bungalou casa_de_pagès
n#10421470	apotecari farmacèutic
n#07815956	pebre_blanc
n#08454003	dret_internacional
n#06970645	magadhi
n#08675967	àrea_urbana
n#06875883	alfabet_dactilologic
n#08542634	confluència
n#05985999	ciència erudició
n#01949195	fisurèl·lids
n#02204084	genus_phlebotomus phlebotomus
n#12531144	genus_geoffroea geoffroea
n#06736217	declaració
n#08500433	espai_exterior espai
n#09301249	Hampton_Roads
n#00537682	ballet_popular dansa_popular
n#06415922	quadern_d'escriptura
n#07812184	espècia
n#00335653	inversió
n#10735298	autòcrata dèspota tirà
n#03222959	maneta
v#02214864	immobilitzar
a#02540899	asimptomàtic
n#80000879	checkbox casella_de_selecció
n#04588739	finestra
n#12011067	genus_senecio senecio
a#00222775	panxut
n#04981139	so
n#04655929	cordialitat
a#02416390	dens
n#01894381	genus_tenrec
v#02285205	reemborsar reembossar
n#03885293	camal cuixot
n#02338319	genus_neofiber neofiber
n#01570549	genus_geothlypis geothlypis
n#13185998	genus_stenochlaena stenochlaena
n#11351832	Gene_Tunney
n#06817782	senyal signe
n#06591815	àlbum
n#12724942	salze
n#09110099	North_Platte
n#09551260	hamadríada
n#08006741	conjugació
v#00502332	desnitrificar
v#01871979	empentar empènyer prémer
n#01837746	piciformes
n#13596756	par
n#02735538	xancle_de_goma
n#04802403	incorrecció
n#10848946	Yogi_Berra
v#00277935	adreçar-se adreçar aixecar-se aixecar alçar-se alçar dreçar-se dreçar redreçar-se redreçar
n#08067460	indústria_carbonera
n#10098624	pes_mosca
n#02530294	genus_alosa
n#00787465	aportació contribució participació
n#11188852	Helen_Wills_Moody
n#03941586	binocle pinça-nas
n#08810358	Apúlia Pulla
n#07663492	búfal carn_de_búfal
n#11996490	genus_mutisia
v#00249852	madurar
n#12922283	acalypha genus_acalypha
a#00681094	indemne
n#09851465	padrí
v#00480751	mecanitzar motoritzar
n#06714288	càstig
n#13083306	planta_de_jardí
n#11329507	Maria_Tallchief
n#11134895	Joseph_Lister
n#02575766	caràngids
n#11319570	Lucy_Stone
n#04471148	creuer transsepte
n#04271148	llança
n#00599472	secretaria secretariat
n#01530575	pinsà_mec
n#10605985	especialista treballadora_qualificada treballador_qualificat
n#11299212	Nevil_Shute
n#01427547	mixosporidis
n#13898645	esferoide
n#08398467	aquelarre
n#02243744	genus_gerris gerris
n#05434557	aparell_de_golgi
n#00079212	recompra redempció
n#13890869	angle_d'incidència
n#11069746	Aldous_Huxley
n#11823305	amarant
n#14972359	oxàcid
n#00397347	censura
n#05960464	dogma
n#06885083	identificació
n#09756049	incitador
n#00349705	remenada
n#12177844	hibiscus
n#13514880	metabolisme metamorfosi
n#00298351	turisme_ecologic
n#02312640	crisàlide
n#05595083	articulació
n#03442288	gliptografia
n#06570963	programa_binari
n#03992509	torn_de_terrissaire
n#04636610	apatia desinterès indiferència
v#01394335	eixugar-se eixugar
n#07501545	antipatia desgrat tírria
n#05530296	cartílag_tiroide nou_del_coll
n#04143712	espantall espantaocells
n#04142731	antena_giratòria dispositiu_explorador escàner
n#07642933	confitura
a#00886253	apassionat ardent àvid entusiasta fervent fervorós
n#10559508	company_d'escola
n#00309115	travessia
a#00585856	reconstructor rehabilitador
n#13647353	megatona
n#03085915	sistema_automàtic_de_processament_de_dades
n#10140169	institutriu
n#03435825	pont_George_Washington George_Washington_Bridge
n#12756059	dipteronia genus_dipteronia
n#04904996	agitació confusió inquietud neguit sobresalt
n#06719579	calúmnia difamació maldiença maledicència
n#08968225	Monte_Carlo
n#12552081	genus_onobrychis onobrychis
n#06113009	hidràulica mecànica_de_fluids
n#11349318	Leon_Trotsky
n#07840219	salsa_de_tàperes
n#02117900	hiena_tacada
n#04736516	transferibilitat
n#09373716	North_Platte
n#02830294	pont_Benjamin_Franklin
n#11277279	Albert_Sabin
a#00420287	desmanegat
n#01914415	actiniaris
n#04200637	cordó_de_les_sabates cordó_de_sabates cordó
n#00412839	antropofàgia canibalisme
n#00309011	volta
n#01972017	genus_architeuthis
v#01254477	llescar
a#01146732	agraït
a#01491930	tardorenc
n#13414310	talonari
a#02363811	immunitzat vacunat
v#02068324	injectar
n#11385748	Elie_Wiesel
n#11064330	William_Henry_Hudson
n#02405101	ur
n#06400271	passatge
n#04479046	guerrera trinxera
n#01784293	tardígrad
n#07101406	antítesi
a#02833544	bacterià
n#08653873	línia_de_sortida sortida
n#01575577	oriòlids
n#06160781	probabilisme
n#07179820	adhesió subscripció
n#05151869	realisme realism
n#04448070	eau_de_toilette
n#09796062	antologista
n#04653357	alegria jovialitat
n#11066772	Leigh_Hunt
n#03036341	vestit_de_paisà
n#06254475	mitjà
v#00611256	recordar
v#02425913	concloure
v#00357332	apuntar brollar brostar brotar créixer germinar grillar nàixer néixer rebrollar rebrostar rebrotar rellucar treure
n#11108767	Fumimaro_Konoe
n#05808102	revelació
n#01666967	genus_kinosternon kinosternon
n#05916739	creença impressió sentiment
n#01904182	valva
n#08352848	personal_de_manteniment personal_de_servei
n#14146128	status_asmaticus
n#00002452	cosa
a#02095542	estable ferm fix segur
n#04716864	idoneïtat
n#07906718	bourbon
v#00378042	cremar incinerar recremar
v#00126143	calbejar
n#06891339	descobriment
n#05584928	canell carp
n#15058544	colesterina colesterol
a#00049879	complementari suplementari
n#09813696	assassí_a_sou sicari
n#06621061	concurs
n#00998423	anemometria
v#00356258	alterar_una_superfície
n#02763901	envelat tendal vela
v#01187740	fer_passar_fam privar_de_menjar
n#08785343	Atenes capital_de_Grècia
n#14455966	vacació vacança
a#00048460	acumulatiu
n#12085840	genus_vanda
n#14680661	malaquita
v#02480448	retirar
n#03348142	tallafoc
n#11219502	Seiji_Ozawa
n#12097180	ardisia genus_ardisia
n#13649791	polzada
n#09787076	amazona
n#03550289	conillera
n#11391234	Charles_Thomson_Rees_Wilson
v#02266677	malgastar
n#04613555	io-io
a#00033206	hiperactiu
n#01228380	gest
n#11477921	ressonància
n#12154628	genus_pandanus
n#11820323	genus_lithops
n#11493827	diferència_de_potencial
a#03080238	llatí
n#04052757	RAM
n#14906656	heptà
a#02537351	decreixent descendent minvant
v#00907147	lamentar-se lamentar queixar-se
n#11903881	genus_corydalis
n#14671125	cromita
n#13320045	usura
n#02737351	arca_de_Noè
n#11150634	John_Major
n#08810631	Sardenya
n#10890868	Johnny_Appleseed
a#01485828	masculí viril
n#10059162	inscrit
n#00751944	butllofa mentida
n#12957467	genus_marsilea marsilea
n#10761190	navegant viatgera viatger
n#14289387	ull_de_vellut
n#02020450	genus_pedionomus pedionomus
n#00391086	esquinç estrip
n#05988282	ignorància
n#06505252	nolle_prosequi
n#00390735	partició_de_mots
n#11015525	Wayne_Gretzky
n#06682683	bolletí_informatiu butlletí_informatiu
n#04228693	gorra
n#15019483	safir
n#06740644	defensa vindicació
n#06744000	glossa
n#15148867	els_anys_vint
a#02257856	sociable
n#10502950	racista
n#06292973	hipònim
n#04470232	ataràctic tranquilitzant
n#02497550	genus_lemur
a#00079786	aterrit horroritzat
a#02583043	esparracat espellifat
n#14813067	citrina
n#08455037	dret_mercantil
n#05934673	perfil
n#10042300	menjador
n#02078882	eumetopias genus_eumetopias
n#03697366	mòdul_lunar
n#01469425	sàlpids
n#12515219	chorizema genus_chorizema
n#05845652	model
n#05660268	mètode
n#03757138	metropolità
n#10873679	Robert_Burns
n#06881494	colom_de_la_pau
v#00044037	maquillar-se pintar-se
v#00993014	escriure
n#04129688	gorra_de_mariner
n#11327544	John_Addington_Symonds
a#02858816	personal
n#04143140	escàner
n#03860741	post_avançat
v#02717102	carregar conduir dur percebre portar rebre tornar
a#01102164	genèric
n#02622130	gempylus genus_gempylus
a#01842198	aleatori
n#12054902	cycnoches genus_cycnoches
v#00165971	impermeabilitzar
n#01498822	miliobàtids
v#01467370	circumdar encerclar envoltar voltar
n#12359952	genus_begonia
a#02073113	diferent
v#02355959	col·locar
n#03411762	galeria
n#03064350	cofre
n#14204586	insolació
n#04926427	novetat
v#00962190	lexicalitzar
n#12631224	genus_geum geum
n#06616703	noticiari_cinematogràfic
n#06554981	embargament_de_béns_immobles
n#13985323	foscor obscuritat penombra
n#13149970	fulla_de_betel
n#11410527	eflorescència
n#10083097	federalista
n#13269186	regal_de_nadal
v#00546729	apujar-se
n#02625851	cavalla
n#13544433	quadruplicació
v#00918580	apostar
n#09632274	persona_no_qualificada
n#09126305	Carolina_del_Nord
n#11025326	Edmund_Halley Edmond_Halley
n#05651680	enteniment intel·lecte intel·ligència raó
a#01450888	recuperat
n#14089450	epilèpsia_postraumàtica
n#09824135	autoritari dèspota dictador tirà
a#02393086	artístic estètic
n#00274941	coloració
a#02112976	higiènic
n#01861778	mamífer
n#13628955	gigabyte
n#00486358	bales
n#00415098	visita
n#10972697	Gustave_Flaubert
n#12860365	alfàbrega
n#12561696	genus_platylobium platylobium
n#00418394	enuig irritació
a#00875962	atontat atordit
n#00066216	malguany
a#02870663	angèlic angelical
a#02071420	semblant similar
n#12950126	valerianàcia
n#01740005	genus_hypsiglena hypsiglena
n#14772877	sulfat_de_bari
n#12976389	genus_dictostylium
n#07537668	desànim descoratjament
n#05823054	justificació
n#08834408	Austràlia_Meridional
n#02969886	portaequipatges
n#08908954	Sumatra
n#03260293	dinamita
n#15167474	nit
v#00850192	burlar-se
v#01261628	incrustar
n#01792640	gallina
n#13699076	ruble
n#13836136	oest
v#01391697	laminar
n#09119277	New_York Nova_York
n#01591697	mallerenga
n#15154462	climateri menopausa
n#01160729	atupada estomacada pallissa tonyina
v#01491697	arrear guarnir
v#02288155	perdre
n#02449060	genus_gulo gulo
n#02851540	carreró_sense_sortida cul-de-sac
v#02208537	arrendar llogar
n#00371735	anotació
v#00736216	analitzar
v#01665638	cuinar guisar preparar
n#10692269	capatàs
n#07117333	bilabial consonant_bilabial
n#10575463	cap_de_sèrie
n#14666510	apatita
n#02934168	cable
a#00172562	prenominal
n#14996020	llustre
n#10504664	pillastre
v#00383871	reclamar
n#05193781	domini_absolut
n#05212362	braquicèfal
n#12754174	acer_glabrum dwarf_maple rocky-mountain_maple
n#06643763	indici pista
n#10338094	arrier traginer
n#04378489	tabard
n#06683183	exclusiva
a#00972902	avançat innovador modern progressista
n#14977845	perlita
a#00415696	confidencial
n#03512147	helicòpter
v#02227127	momificar
n#80000864	configuració_automàtica
v#01626138	compilar compondre
n#10413834	penitent
n#09610173	cofundador
n#08245172	crim_organitzat hampa món_del_crim
n#07437990	autofertilització
a#00077645	temorós
n#07965085	associació comunitat corporació cos
n#10555825	capsigrany eixelebrat poca-solta tabalot
n#04353573	sulky
n#11119634	Rod_Laver
n#07055502	gavota
n#05415200	sinòvia
n#00825192	autodefensa defensa_personal
v#01330676	sargir
n#13870805	connexió enllaç
n#07847827	nata_enriquida
v#01311103	cavar
n#10753779	dolent
n#03403643	embut
n#06583929	rutina_de_sortida
n#10324560	maniquí model
v#00270005	circular mobilitzar
n#10060352	emprenedor
n#07856895	mantega_d'anxoves
n#07173766	lectura
a#02839505	professional
a#02692624	químic
n#10560352	mestra mestre professora professor
n#10105359	pescahereus pescapubilles
n#00358931	escurçada escurçament
n#11138924	Peter_Lorre
n#10034906	conductora conductor
n#11645914	araucària
n#01754876	serp_de_cascavell
n#08120384	departament_local
a#00148078	astut bergant murri sagaç sorneguer
n#01116360	termometria
n#13738327	dècima_part
n#15007803	buna
n#07056895	samba
n#12933403	api
n#04247876	filet
n#01683724	escíncids
n#06471737	fur
n#12152722	cotonera
n#01054876	cohabitació convivència
n#04904851	agitació desassossec inquietud nerviosisme nerviositat
v#01541803	escampar-se vessar
n#01099109	finançament financiació
n#14655731	estronci número_atòmic_38 Sr
a#00404202	incolor
v#02735753	caber cabre entrar
n#10102506	pronosticador vaticinador
v#00941990	dir parlar verbalitzar
n#06104073	conservació
n#04897604	desgavell desordre desori
n#11891395	genus_lunaria lunaria
n#10314952	emigrant
n#07204911	negativa
n#15205880	quattrocento
n#04872958	qualitat_maternal
v#02237782	aportar contribuir donar
n#15063493	sulfat
n#06292154	nucli
n#08261320	Partit_Laborista
n#11147729	Maquiavel
n#11002895	Robert_Hutchings_Goddard
a#00045888	mortal
a#01949740	illetrat inculte senzill
n#06817312	fórmula_estructural
n#14681987	millerita
n#09713357	palestí
n#04017807	llanxa_torpedinera
n#05870615	híbrid
a#00994073	terminal
n#01757547	genus_sistrurus sistrurus
n#10254965	lesbiana
n#12363580	genus_hibbertia hibbertia
n#03699754	lladronera
a#01388809	gran macroscòpic
n#10137825	gondoler
n#08555569	espai_aeri
a#00492595	oleofòbic
n#12990938	cladonia genus_cladonia
n#09012297	Estònia
n#05871792	principi_del_plaer
n#04835028	egocentrisme egoisme
n#08494133	ambient
n#06687358	autorització consentiment
v#01387022	llimar-se llimar
n#07972279	gens_(família)
n#07732636	crispetes
n#15111609	curare
n#04164406	segona_base
n#10035430	cotxer
n#10654701	padrastre
n#13676285	conto
a#00194817	esborronador esgarrifós horripilant
n#02618372	ammodytes genus_ammodytes
n#09935793	col·laboracionista
v#02767922	fumejar
a#01435891	elàstic
n#01951107	aplysia genus_aplysia genus_tethus tethys
n#01746818	aspidelaps genus_aspidelaps
n#02700622	alum
n#14896128	colofònia
n#00377813	percussió
n#11668117	monocotiledònia
n#07287472	pèrdua
n#13474290	emissió
n#10377291	olímpic
a#00605406	inconvenient inoportú problemàtic
n#08183046	manada massa munió turba
n#14665767	amfíbol
n#06767777	acudit agudesa sortida
n#09223325	Mar_Negre
n#01208291	facilitació
n#11759049	genus_albizia genus_albizzia
n#00950356	tecnologia_de_comunicacions
n#05506832	plexe_coxal
n#10682953	estimat
v#02043982	girar
v#02183626	xiular
n#08906374	Nepal
n#13864763	forma_angulosa
n#05551939	múscul_pectoral_major pectoral_major
n#05951072	avançament
n#14994726	polifosfat
n#04172607	sensitòmetre
n#05207130	inaptitut incapacitat
n#07032026	contrapunt
n#04823258	opacitat
n#00756470	obscurantisme
n#02729837	aparell
v#01680267	fistonar fistonejar
n#06836275	fi
n#01797180	canachites genus_canachites
n#07234657	recriminació
n#15143477	mort
n#00369802	contracció
n#07563800	dieta_a_base_de_líquids dieta_de_líquids
n#06145062	micropaleontologia
n#05490204	àrea_visual
n#13164763	brot_(botànica)
v#00361641	desentelar
v#02122164	coure fer_mal picar pruir
v#01307896	degradar
n#02531503	brevoortia genus_brevoortia
n#10868738	Giordano_Bruno
v#00027268	desemperesir-se desentumir distendre estirar-se estirar
n#10391416	escuder patge
n#05043973	exposició
v#00228019	despuntar espuntar romejar
a#01042491	cerimonial solemne
n#13637376	amper
n#07081177	llenguatge parla
v#01182152	alimentar-se banquetejar mantenir-se nodrir-se sustentar-se
a#02556901	industrial
n#13933221	complicació
n#04525417	xapatge
n#03660228	Campana_de_la_Llibertat
n#09264803	delta
n#04684654	exquisidesa exquisitat
n#09635823	ari indoeuropeu
a#00218837	exquisit
n#11320631	Lytton_Strachey
n#02129837	tigre_de_Bengala
n#13968308	atur
n#07652488	lletada lletons
n#02716866	antibiòtic
n#07533257	pessimisme
n#04384910	llum_posterior
n#10209246	incitador instigador provocador
n#11240996	Sydney_Pollack
n#13688033	deutsche_mark marc_alemany Marc_Alemany
n#00058002	desembarcada desembarcament
n#05667086	technicolor
a#01745517	observador
n#12731714	àlber pollancre
n#14589223	solució
v#00728393	impressionar marcar
v#01466978	bordejar vorellar voretar limitar
n#06869951	acord
n#13941469	nivell_de_vida
a#00489108	comú habitual normal usual
n#03446832	equipament_de_golf
n#02120387	genus_urocyon urocyon
v#00150287	adaptar-se ajustar-se conformar-se
n#10205985	font informador informant
n#04044307	radiotelegrafia radiotelègraf
n#03837157	nistatina
n#03783873	monoplà
n#01466828	cordats
n#09924742	civil paisà
a#00212173	hirsut pelut pilós
n#07181453	disconformitat
v#02084104	extraure extreure
n#09346450	mantell
n#01846331	ànec
n#02871147	punt_de_llibre
v#02076999	expel·lir expulsar llançar tirar
n#15226451	terme
n#09201840	Aquari
n#04879092	falsedat inconstància volubilitat
n#06860177	refilet trinat
v#02076676	abandonar desallotjar evacuar
n#00087663	cessió
a#00250483	imprudent temerari
n#10590339	exportador noliejador
n#09601571	Philip_Marlowe
n#07816839	cerfull
n#08283757	escola_d'infermeria
n#01997119	ciclop
n#02506630	genus_gomphotherium gomphotherium
n#00203753	defugiment sorteig
n#01379389	estafilococ
n#04383923	arrambador barana
n#14408086	contrarietat dificultat obstacle problema
n#03984759	escudella
n#01705717	hadrosaures
n#00286756	coixesa
n#00400083	conversió
n#11664301	genus_ginkgo
n#01396776	genus_vorticella
n#14143415	tuberculosi
n#00955987	resistència
n#06732169	afirmació_matemàtica
n#06831712	f
n#07048782	antífona
n#04178668	planta_de_residus
n#13643770	quilovolt
n#07019500	espectacle_d'ombres
a#00189017	adormit endormiscat ensonyat
n#02758960	autoclau
n#08975617	Caixmir Kashmir
n#03912218	flauta
a#00308593	deixat descuidat
v#02711114	confinar envoltar tancar voltar
n#04750764	dessemblança dissimilitud
n#00595146	mestratge
n#14421139	associació
n#10875910	George_Walker_Bush George_W._Bush George_Bush
a#01303776	infernal
n#04365328	sistema_de_vigilància
n#02474777	homo_sapiens
v#00655987	classificar_per_la_mida
n#15036638	fitotòxic
n#11073324	John_Irving
v#00425522	comparèixer presentar-se
n#10588357	xeic
n#06539502	acte_judicial
n#01134479	mala_administració
v#01393996	escombrar
n#13467916	desintegració
n#10415037	percussionista
n#13537761	pinocitosi
n#00918976	hidroponia
v#01993926	avançar-se
n#12990407	alectoria genus_alectoria
n#10212338	internunci
n#07600506	confitura fruita_confitada fruita_gebrada
n#02089232	gos_salsitxa
v#01919042	balancejar-se balancejar balendrejar oscil·lar trontollar
v#02118933	notar observar
n#04216634	garbell sedàs tamís
v#00363742	encallar-se
n#14061805	afecció malaltia patologia
v#00283805	estampar
n#11777365	genus_trachelospermum trachelospermum
n#10855431	Anne_Boleyn
n#11356822	Urbà_V
n#08947180	capital_de_Granada Saint_George's Saint_George
n#06370522	epopeia saga
n#10854146	Giovanni_Boccaccio
n#03532672	ganxo garfi
n#11479058	magnetisme
n#14376855	deliri
v#00027570	eixarrancar-se eixarrancar
n#11645163	keteleeria
n#10126926	cervell crack geni
n#14384796	zoofòbia
n#07102271	quiasme
n#04005340	prisma prisma_òptic
n#03101986	estris_de_cuina utensilis_de_cuina
n#12128645	genus_pennisetum pennisetum
a#02984104	presidencial
n#15188154	Pasqua
n#02486410	mandril
n#01918744	ctenòfor
n#14444326	monopoli
n#05984936	cultura
n#07154046	banalitat fotesa futilesa futilitat nimietat trivialitat
n#01397778	varec
n#11058633	Herbert_Hoover
n#08024408	Exèrcit_Irlandès_d'Alliberació_Nacional
v#01889610	agitar remenar sacsejar tremolar
n#10459882	postulant
n#80000894	dimoni
n#10023656	doctrinari dogmatista
n#10841241	Max_Beerbohm
n#15072857	timina
n#07179943	confirmació ratificació
n#14138178	galteres parotiditis
n#12122581	genus_holcus holcus
n#07308563	detonació explosió
n#00512843	bajanada bestiesa ximpleria
n#07402271	baixamar
n#00836788	aspiració inhalació inspiració
n#10223606	John_Doe
n#07735052	salsifí
n#04640538	longanimitat paciència tolerància
n#07392783	murmuri remor
n#07051620	lied
v#01869003	balancejar trontollar trontollejar
n#06822198	accent
n#00605616	virregnat
n#09902017	vaquer
n#10667709	alferes
n#02031455	genus_philohela philohela
n#00057306	retirada
n#09847344	captaire mendicant
n#10697135	rocker
a#01481612	casat
n#01605630	esparver falcó
n#10880669	Melvin_Calvin
n#13667372	colón_costa-riqueny
n#14209635	polimiositis
v#02535716	abandonar rompre tallar trencar
n#07326880	antecedent
n#02760298	estàrter_automàtic
n#11379812	Simone_Weil
n#10299250	mestre_de_cerimònies
n#10467395	presidenta president_dels_Estats_Units president
n#03038870	clavicordi
v#00207728	abaratir degradar-se degradar
n#00750306	xerramenta
n#03087069	formigonera
v#00396234	interrompre
n#07643200	confitura_de_maduixa
n#02969010	carro
n#15070366	torita
n#14614864	àcid_lisèrgic
n#11607739	pinàcies
n#06337111	cognom_de_soltera
n#06839190	espai
n#14747981	androsterona
n#14408519	putada
v#00261845	adobar
n#00504209	dards
n#04009382	projecció
n#03898633	flassada_de_retalls
a#01344171	apassionant fascinador fascinant
n#11047961	Walter_Rudolf_Hess
v#02086458	traslladar
n#14924067	isoleucina
n#15095389	espermaceti
n#05765415	simbolització símbol
n#12419217	genus_amaryllis
n#12992022	cetraria genus_cetraria
n#00753240	duplicitat enserronada
n#07722485	ceba_tendra
n#12221191	macadàmia
v#01681723	esmaltar
v#02586458	encantar encisar
n#10497135	cadi
n#12774496	balata
v#02265979	estalviar aforrar
n#02024923	arenaria genus_arenaria
n#03119396	cupè
n#13442312	calcificació
n#12363988	gutíferes
n#10750911	vicepresident
n#14491271	abundància riquesa
n#06474030	full_de_comanda
a#01170823	radiant
n#02414578	ovella_salvatge
n#10199783	immune
n#00832306	ecocardiografia
v#01679433	acompanyar adornar guarnir
a#01623744	ple
v#00309074	irritar-se
n#11386853	Guillem_II_de_Prússia
n#11143458	George_Lucas
n#00545501	cant
n#04016846	psaltiri salteri saltiri
n#01363423	espiril·làcies
n#12836033	genus_nemophila
n#03563358	impedimenta
n#04597309	talla
n#00095121	expiació
n#12063066	genus_glossodia glossodia
a#01711071	dolorós penós
v#01120069	assaltar atacar
n#00608354	interiorisme
n#04836074	devantera iniciativa
n#09858165	cinturó_negre
n#14639556	hafni número_atòmic_72
a#02234187	ennegrit
n#10789118	lligon
n#80000954	convidat
n#03829954	sinia
n#11118602	Benjamin_Henry_Latrobe
n#07433662	mutilació
v#02381726	assumir prendre
a#00005107	complet íntegre
n#11447153	corrent_continu
a#00017186	escàs
v#00317700	allargar prolongar
v#00217700	inundar
a#00698262	derivat
v#01700149	lletrejar
n#00296585	processó
n#01793818	meleagrídids
a#01609501	percebut
a#02929216	subtropical
n#13256691	renda_bruta
n#02396667	babyrousa genus_babyrousa
n#03030880	burilla
n#09537144	Fill
v#02061069	contreure's encongir-se recular retrocedir
n#01946277	nerítid
n#11257932	Rembrandt Rembrandt_van_Rijn
n#04374907	sincrociclotró
n#04592596	bóta
v#00983333	accentuar
n#06834674	zeta
n#13553560	recerca
n#10512562	reclutador
n#05567604	dit_del_cor dit_del_mig
n#07510923	expectació
v#01673891	filar teixir
n#13191318	culcita genus_culcita
n#02677136	pintura_acrílica
n#05780563	corol·lari
n#13735476	comú_denominador
v#00038849	empolainar-se empolistrar-se endiumenjar-se
n#02562680	genus_pomoxis pomoxis
n#08565506	cel edèn paradís terra_promesa
n#10943115	Theodore_Dreiser
a#01720280	normal perpendicular
a#00787357	autoritari despòtic dictatorial
n#01967396	bankia genus_bankia
a#01006566	limitat
n#14890286	granit
n#09854708	protegida puteta
n#00165178	delegació
n#04413419	terminal
v#01958615	muntar_a_cavall
n#07673249	degotall
a#03080862	llevantí
a#01535709	modern
v#02469443	dividir_en_paràgrafs
n#13027670	genus_thielavia thielavia
n#07169480	encàrrec
n#06015271	càlcul_integral
v#00687295	dubtar
n#11096192	Kamehameha_I
v#00480396	semiautomatitzar
n#05313344	cos_ciliar
n#04238763	regle_de_càlcul
n#02375438	cavallerissa
n#03326795	feltre
n#00800421	feminisme moviment_feminista
n#03991837	potenciòmetre
n#02203332	chironomus genus_chironomus
n#15121625	avenir esdevenidor futur
n#12756862	alzina carrasca genus_ilex ilex
n#09853467	germà_gran
n#01943367	genus_lambis lambis
n#12314315	hamamelidàcies
n#10015215	director_d'escena director
n#00195569	diversificació
n#13684735	qintar
n#13270260	obra_de_beneficència
v#01454431	remolcar
v#01813668	alegrar-se
v#00612042	commemorar immortalitzar
n#13885370	torsió
n#07508996	altivesa arrogància fums inflor presumpció supèrbia vanitat
n#06349220	comunicació_escrita llenguatge_escrit
n#06273986	trucada_local
n#04168840	sismògraf
n#09720967	libi
a#01858740	snob
n#14325220	passió
n#15015355	iodur_d'argent
n#13250930	béns fortunes haver hisenda patrimoni possessions riquesa
n#07925500	suc_de_tomàquet
n#14671744	blau_cobalt
a#00966477	desconegut
n#09932892	coautor
n#15047988	solvat
n#11321647	Richard_Strauss
n#08963369	Malàsia
n#04123123	sacabutx
n#12197765	genus_dombeya
v#02431320	distanciar-se separar-se
n#02169345	crisomèlids
n#08213424	Special_Forces
n#06863751	tonalitat
v#02511551	ordenar regularitzar
n#03325403	butaca
n#09714952	irlandès
n#00315986	transferència transport
n#11152856	Malthus Thomas_Malthus Thomas_Robert_Malthus
n#10875107	Richard_Burton
v#01902783	flotar nedar surar
n#03066130	dispositiu_intrauterí DIU
n#06163751	lògica
n#03366823	estora
n#07412993	llamp
v#00988028	representar
v#00691834	relativitzar
n#13867276	distorsió
v#02553262	rehabilitar restituir
v#02736660	participar_d'una_qualitat tenir_trets_d'una_qualitat
n#09759684	acceptant
n#15224486	terme
v#00017282	adormir-se endormiscar-se
n#06836059	tau
n#00087218	rapte segrest
n#05005250	propietat_fisiològica
n#03150511	molls
a#01388418	extens extensíssim
n#07720442	pebrot
n#00747029	vici
n#00531886	dansa_interpretativa
v#02289295	guanyar
a#03076935	jesuïta jesuític
n#01736696	genus_haldea haldea
n#00866079	midriàtic
n#03863783	multiplicador_de_velocitat sobremarxa
n#11424194	heterogènesi
n#14487184	impuresa
n#10157378	mestís
a#00359260	esgotat
n#00617692	pirotècnia
v#00321652	arrosar banyar ruixar
a#02403030	rigorós sever
n#11417561	motor
v#00441445	disminuir reduir
n#14394094	despersonalització
v#00304946	estrènyer
n#14652390	número_atòmic_75 Re reni
n#00102457	automació automatització mecanització robotització
a#02076416	maníac
a#00730215	principal
n#00434231	pont
n#06896304	interlingua
n#10949782	Príncep_Negre
v#00083661	encanyar
n#02791665	barbacana
n#01739518	genus_trimorphodon trimorphodon
n#12147226	bambú
n#10099093	joglar trobador
n#02580055	genus_naucrates naucrates
v#00782527	incitar temptar
n#14271667	hidrofòbia ràbia
a#02498507	fatal
n#02796623	barrera obstacle
n#03744276	magatzem memòria
n#01095966	operació
n#14591091	suspensió
n#11683747	clova_de_nou
a#00047029	addicte
a#02278011	especial
n#14948377	martensita
n#03863108	granota
n#10703336	testador
n#08600443	monument
n#03249569	tambor
n#03620443	hort
v#00082308	afluixar alleugerir-se laxar mitigar relaxar-se
n#08490199	país
n#06501311	programa programa_polític
n#05657718	audició facultat_auditiva oïda sentit_auditiu
n#07150644	arbitrament mediació
n#04531873	armilla
n#08740367	Mèrida
n#15097430	oli_de_balena
n#08191701	armada forces_navals marina
n#09073938	Miami_Beach
n#13985462	fosca foscor foscúria
n#03780247	motllura
n#08372574	tòtem
n#15137047	dia_de_festa dia_festiu festiu
n#10753339	vigilant
n#08567877	destí destinació
n#14333433	martiri suplici tortura turment
a#00994210	no_fatal
n#00575365	bufar_i_fer_ampolles peix_al_cove
n#13731669	arrel
v#00472532	ofegar
v#02617083	respirar
